site_country,site_region,site_county,site_county_alt,site_name,site_name_alt,coordinates,Latitude,Longitude,coordinates_accuracy
China,Inner Mongolia,E-Ji-Na-Qi,额济纳旗,Lvcheng,绿城,"42.010047, 101.224130",42.010047,101.22413,site
China,Xinjiang,Luopu,洛浦,Sampula cemetery,山普拉古墓群,"37.019233, 80.109789",37.019233,80.109789,site
China,Xinjiang,Wensu,温宿,Bao Zi Dong,包孜东,"41.761763, 80.744192",41.761763,80.744192,village
China,Sichuan,,,,,"30.503419, 102.882772",30.503419,102.882772,region
China,Gansu,Wuwei,武威,,,"37.933882, 102.622667",37.933882,102.622667,county
China,Sichuan,Li County,理县,,,"31.556120, 103.055783",31.55612,103.055783,county
Japan,Fukuoka,,,Sugu-Okamoto,須玖岡本遺跡,"33.539579, 130.449281",33.539579,130.449281,site
Japan,Fukuoka,Tateiwa,立岩,,,"33.648510, 130.696286",33.64851,130.696286,county
China,Gansu,Lanzhou,兰州,,,"36.407949, 103.603229",36.407949,103.603229,county
China,Guizhou,Weining,威宁,"Weining, Zhong-shui M42",中水镇,"27.220216, 103.807701",27.220216,103.807701,village
China,Guizhou,Weining,威宁,"Weining, Zhong-shui-li M24",中水镇,"27.220216, 103.807701",27.220216,103.807701,village
China,Guizhou,Hezhang,赫章,"Hezhang, Kele M91",可乐彝族苗族乡,"27.236705, 104.401535",27.236705,104.401535,village
China,Guizhou,Hezhang,赫章,"Hezhang, Kele M87",可乐彝族苗族乡,"27.236705, 104.401535",27.236705,104.401535,village
China,Guizhou,Hezhang,赫章,"Hezhang, Kele M38",,"27.118294, 104.619969",27.118294,104.619969,village
China,Guizhou,Xingren,兴仁,"Xingren, Jiaole M2",,"25.431591, 105.197546",25.431591,105.197546,county
China,Sichuan,Qingchuan,青川,Qingchuan Haojiaping M13:15,郝家坪,"32.578379, 105.241881",32.578379,105.241881,site
China,Sichuan,Qingchuan,青川,Qingchuan Haojiaping M13:16,郝家坪,"32.578379, 105.241881",32.578379,105.241881,site
China,Gansu,Lixian,礼县,,,"34.309212, 105.453600",34.309212,105.4536,county
China,Chongqing,Chongqing,重庆,Cheng Yu Road,成渝路,"29.547524, 106.530691",29.547524,106.530691,village
China,Chongqing,Chongqing,重庆,"Zhang Ming Ya grave, Bao Cheng Road",宝城路,"29.405435, 105.591017",29.405435,105.591017,village
China,Chongqing,Chongqing,重庆,"Bao Cheng Road, Zhaohua city, Bao Lun Yuan",宝城路,"29.405435, 105.591017",29.405435,105.591017,village
China,Chongqing,Chongqing,重庆,"Bao Cheng Road, Zhaohua city, Bao Lun Yuan M7",宝城路,"29.405435, 105.591017",29.405435,105.591017,village
China,Chongqing,Chongqing,重庆,"Bao Cheng Road, Zhaohua city, Bao Lun Yuan M9",宝城路,"29.405435, 105.591017",29.405435,105.591017,village
China,Chongqing,Chongqing,重庆,South Bao Cheng Road,宝城路,"29.405435, 105.591017",29.405435,105.591017,village
China,Chongqing,Chongqing,重庆,Zhang Ming Changshan village M12 ,长山村,"29.376830, 105.696825",29.37683,105.696825,village
China,Guizhou,Qianxi,黔西,Qianxi Gantang M18,干塘,"26.999938, 105.863237",26.999938,105.863237,village
China,Guizhou,Qianxi,黔西,Qianxi M13,干塘,"26.999938, 105.863237",26.999938,105.863237,county
China,Guizhou,Pingba,平坝,"Pingba, Jin-jia-ba M12",,"26.396700, 106.281388",26.3967,106.281388,county
China,Guizhou,Qingzhen,清镇,"Qingzhen, Ya-long-ba M14 ",琊陇坝,"26.449955, 106.365463",26.449955,106.365463,village
China,Guizhou,Qingzhen,清镇,"Qingzhen, Ya-long-ba M1",琊陇坝,"26.449955, 106.365463",26.449955,106.365463,village
China,Guizhou,Qingzhen,清镇,"Qingzhen, Zhonghou M1",琊陇坝,"26.449955, 106.365463",26.449955,106.365463,village
China,Guizhou,Qingzhen,清镇,"Qingzhen, Zhonghou M1",琊陇坝,"26.449955, 106.365463",26.449955,106.365463,village
China,Guizhou,Qingzhen,清镇,"Qingzhen, Ludi village M56",琊陇坝,"26.449955, 106.365463",26.449955,106.365463,village
China,Chongqing,Ba Xian,巴县,"Dongsunba in Baxian, Chongqing",冬笋坝,"29.300027, 106.377824",29.300027,106.377824,village
China,Chongqing,Chongqing,重庆,"Ba County, Dong Sun Ba",冬笋坝,"29.300027, 106.377824",29.300027,106.377824,village
China,Chongqing,Chongqing,重庆,"Ba County, Dong Sun Ba M49 ",冬笋坝,"29.300027, 106.377824",29.300027,106.377824,village
China,Sichuan,Nanchong,南充,South Nanchong Station M4:1 ,,"30.763546, 106.057547",30.763546,106.057547,village
China,Sichuan,Nanchong,南充,South Nanchong Station M40:1 ,,"30.763546, 106.057547",30.763546,106.057547,village
China,Sichuan,Nanchong,南充,South Nanchong Station M40:1 ,,"30.763546, 106.057547",30.763546,106.057547,village
China,Sichuan,Nanchong,南充,South Nanchong Station M27:2,,"30.763546, 106.057547",30.763546,106.057547,village
China,Sichuan,Nanchong,南充,South Nanchong Station M27:4 ,,"30.763546, 106.057547",30.763546,106.057547,village
China,Sichuan,Nanchong,南充,South Nanchong Station M27:3 ,,"30.763546, 106.057547",30.763546,106.057547,village
China,Chongqing,Chongqing,重庆,Cheng-Yu Highway,成渝高速,"30.191599, 104.596254",30.191599,104.596254,county
China,Chongqing,Chongqing,重庆,No. 7 tomb at Cheng-Yu and Baocheng Highway,成渝高速,"30.191599, 104.596254",30.191599,104.596254,county
China,Guizhou,Anshun,安顺,"Anshun, Ninggu M12",,"26.244426, 105.931419",26.244426,105.931419,village
China,Chongqing,Chongqing,重庆,"Dongxunba in Baxian, Chongqing",巴县,"29.343887, 106.736356",29.343887,106.736356,county
China,Chongqing,Chongqing,重庆,Southern part of Baocheng Railway,宝成铁路,"29.550949, 106.536186",29.550949,106.536186,county
China,Chongqing,Chongqing,重庆,No. 7 tomb at Baolun garden Zhaohua along Baocheng Railway,宝成铁路,"29.550949, 106.536186",29.550949,106.536186,county
China,Chongqing,Chongqing,重庆,"No. 7 tomb at Baolun garden, Zhaohua along Baocheng Railway",宝成铁路,"29.550949, 106.536186",29.550949,106.536186,county
China,Chongqing,Chongqing,重庆,No. 7 tomb at Baolun gardon Zhaohua along Baocheng Railway,宝成铁路,"29.550949, 106.536186",29.550949,106.536186,county
China,Gansu,Chongxin,崇信,Yu Jiawan,于家湾,"35.321660, 107.077355",35.32166,107.077355,village
China,Chongqing,Wanzhou,万州,"R. F. Luo's tomb in Wanzhou, Chongqing",,"30.691912, 108.395543",30.691912,108.395543,county
China,Chongqing,Wanzhou,万州,"Maliuwan in Wanzhou, Chongqing",,"30.691912, 108.395543",30.691912,108.395543,county
China,Chongqing,Kai Xian,开县,"Yujiaba in Kaixian, Chongqing",余家坝,"31.137772, 108.552975",31.137772,108.552975,site
China,Guangxi,Hehuan,,"Hehuan, Ji-she-ling M18",,"21.583754, 109.236104",21.583754,109.236104,county
China,Guangxi,Hepu,合浦,Feng-men-ling M26,风门岭,"21.789062, 109.121467",21.789062,109.121467,village
China,Chongqing,Chongqing,重庆,"No. 12 tomb at Changshan, Zhangming",长山,"29.550658, 106.523138",29.550658,106.523138,county
China,Chongqing,Chongqing,重庆,"Tomb at Changshan, Zhangming",,"29.550658, 106.523138",29.550658,106.523138,county
China,Guangxi,Hehuan,,"Hehuan, Mu-zhu-ling M1",母猪岭,"21.583754, 109.236104",21.583754,109.236104,village
China,Guangxi,Hepu,合浦,Hehuan Muzhu Mountain M1,母猪岭,"21.583754, 109.236104",21.583754,109.236104,village
China,Guangxi,Hehuan,,"Hehuan, North Chajiang M23",,"21.666591, 109.207506",21.666591,109.207506,region
China,Guangxi,Fengmengling,,Feng-meng-ling M26,,"21.789062, 109.121467",21.789062,109.121467,region
China,Guangxi,Heguan,,Heguan M1,,"21.666591, 109.207506",21.666591,109.207506,region
China,Guangxi,Hepu,合浦,,,"21.666591, 109.207506",21.666591,109.207506,county
China,Guangxi,Hepu,合浦,Hepu Jiu-zhi-ling M5,,"21.666591, 109.207506",21.666591,109.207506,county
China,Guangxi,Hepu,合浦,Hehuan Ji-she-ling M18,,"21.666591, 109.207506",21.666591,109.207506,county
China,Guangxi,Hepu,合浦,Heguan M1,,"21.666591, 109.207506",21.666591,109.207506,county
China,Guangxi,Hepu,合浦,Hehuan Beichajiang Erma Factory M23,,"21.666591, 109.207506",21.666591,109.207506,county
China,Guangxi,Hepu,合浦,Hehuan Mechanical Factory M1,,"21.666591, 109.207506",21.666591,109.207506,county
China,Guangxi,Heguan,,Heguan M10,,"21.666591, 109.207506",21.666591,109.207506,county
China,Guangxi,Heguan,,Heguan M10,,"21.666591, 109.207506",21.666591,109.207506,county
China,Guangxi,Hepu,合浦,Heguan M10,,"21.666591, 109.207506",21.666591,109.207506,county
China,Guangxi,Hepu,合浦,Heguan M10,,"21.666591, 109.207506",21.666591,109.207506,county
China,Guangxi,Hepu,合浦,"Hepu, Jiu-zhi-ling M5",,"21.666591, 109.207506",21.666591,109.207506,county
Turkmenistan,Ashgabat,Bagyr,,Old Nisa,,"37.966273, 58.2117",37.966273,58.2117,county
Uzbekistan,Qashqadaryo,,,,,"38.846992, 66.8988",38.846992,66.8988,region
Uzbekistan,Surxondaryo,,,,,"38.72455, 67.463113",38.72455,67.463113,region
China,Xinjiang,Gongliu,巩留,Red Flag Factory,,"43.484191, 82.228116",43.484191,82.228116,county
China,Xinjiang,Baicheng,拜城,Kezi'er Tu'er,克孜尔吐尔,"41.79588, 82.391721",41.79588,82.391721,village
China,Xinjiang,Kuche,库车,,,"41.811176, 83.493758",41.811176,83.493758,county
China,Xinjiang,Kuche,库车,Kang Cun,康村,"41.954642, 83.52126",41.954642,83.52126,village
China,Xinjiang,Tacheng,塔城,E'min,额敏,"46.611756, 84.139679",46.611756,84.139679,village
China,Xinjiang,Bayingolin,巴音郭楞蒙古自治州,Luntai,轮台,"41.829427, 84.59798",41.829427,84.59798,village
China,Xinjiang,Qiemo,且末,Zhagunluke cemetery,扎滚鲁克古墓群,"38.121883, 85.482683",38.121883,85.482683,site
China,Xinjiang,Hami,哈密,Wupuzhen,五堡镇,"42.86848, 92.85125",42.86848,92.85125,village
China,Xinjiang,Hami,哈密,,,"43.138868, 93.4989",43.138868,93.4989,county
China,Qinghai,,,,,"35.56656, 95.763339",35.56656,95.763339,region
China,Guizhou,Qingzhen,清镇,"Qingzhen, Zhonghou M100",,"26.555569, 106.473804",26.555569,106.473804,county
China,Guizhou,Qingzhen,清镇,"Qingzhen, Zhonghou M100",,"26.555569, 106.473804",26.555569,106.473804,county
China,Guizhou,Qingzhen,清镇,"Qingzhen, Zhonghou M100",,"26.555569, 106.473804",26.555569,106.473804,county
China,Guizhou,Qingzhen,清镇,"Qingzhen, Zhonghou M100",,"26.555569, 106.473804",26.555569,106.473804,county
China,Guizhou,Qingzhen,清镇,"Qingzhen, Zhonghou M10",,"26.555569, 106.473804",26.555569,106.473804,county
China,Guizhou,Qingzhen,清镇,"Qingzhen, Zhonghou M10",,"26.555569, 106.473804",26.555569,106.473804,county
China,Henan,Xichuan,淅川,Xujialing M1,徐家岭 M1,"32.851549, 111.669621",32.851549,111.669621,village
China,Henan,Xichuan,淅川,Xujialing M11,徐家岭 M1,"32.851549, 111.669621",32.851549,111.669621,village
China,Henan,Xichuan,淅川,Xujialing M12,徐家岭 M1,"32.851549, 111.669621",32.851549,111.669621,village
China,Henan,Xichuan,淅川,Xujialing M13,徐家岭 M1,"32.851549, 111.669621",32.851549,111.669621,village
China,Henan,Xichuan,淅川,Xujialing M14,徐家岭 M1,"32.851549, 111.669621",32.851549,111.669621,village
China,Henan,Xichuan,淅川,Xujialing M15,徐家岭 M1,"32.851549, 111.669621",32.851549,111.669621,village
China,Henan,Xichuan,淅川,Xujialing M16,徐家岭 M1,"32.851549, 111.669621",32.851549,111.669621,village
China,Henan,Xichuan,淅川,Xujialing M17,徐家岭 M1,"32.851549, 111.669621",32.851549,111.669621,village
China,Henan,Xichuan,淅川,Xujialing M18,徐家岭 M1,"32.851549, 111.669621",32.851549,111.669621,village
China,Henan,Xichuan,淅川,Xujialing M19,徐家岭 M1,"32.851549, 111.669621",32.851549,111.669621,village
China,Henan,Xichuan,淅川,Xujialing M2,徐家岭 M1,"32.851549, 111.669621",32.851549,111.669621,village
China,Henan,Xichuan,淅川,Xujialing M10,徐家岭 M10,"32.851549, 111.669621",32.851549,111.669621,village
China,Henan,Xichuan,淅川,Xujialing M10,徐家岭 M10,"32.851549, 111.669621",32.851549,111.669621,village
China,Henan,Xichuan,淅川,Xujialing M20,徐家岭 M10,"32.851549, 111.669621",32.851549,111.669621,village
China,Henan,Xichuan,淅川,Xujialing M20,徐家岭 M10,"32.851549, 111.669621",32.851549,111.669621,village
China,Henan,Xichuan,淅川,Xujialing M10,徐家岭 M10,"32.851549, 111.669621",32.851549,111.669621,village
China,Henan,Xichuan,淅川,Xujialing M10,徐家岭 M10,"32.851549, 111.669621",32.851549,111.669621,village
China,Inner Mongolia,Cha-You-Zhong-Qi,察右中旗,Qilangshan M6,,"41.284548, 112.65181",41.284548,112.65181,county
China,Inner Mongolia,Cha-You-Zhong-Qi,察右中旗,Qilangshan,,"41.284548, 112.65181",41.284548,112.65181,county
China,Inner Mongolia,Cha-You-Zhong-Qi,察右中旗,Qilangshan M2,,"41.284548, 112.65181",41.284548,112.65181,county
China,Inner Mongolia,Cha-You-Zhong-Qi,察右中旗,Qilangshan M20,,"41.284548, 112.65181",41.284548,112.65181,county
China,Inner Mongolia,Cha-You-Zhong-Qi,察右中旗,Qilangshan M20,,"41.284548, 112.65181",41.284548,112.65181,county
China,Inner Mongolia,Cha-You-Zhong-Qi,察右中旗,Qilangshan M20,,"41.284548, 112.65181",41.284548,112.65181,county
China,Inner Mongolia,Cha-You-Zhong-Qi,察右中旗,Qilangshan M20,,"41.284548, 112.65181",41.284548,112.65181,county
China,Hubei,Sui County,随县,Tomb of Marquis Yi of the Zeng State,曾侯乙墓,"31.729776, 113.3579",31.729776,113.3579,site
China,Hunan,Changsha,,,,"28.25144, 113.9289",28.25144,113.9289,county
China,Inner Mongolia,Yuan-Shang-Du southwall,元上都,,,"42.344485, 116.2183",42.344485,116.2183,site
China,Inner Mongolia,Yuan-Shang-Du,元上都,,,"42.344485, 116.2183",42.344485,116.2183,site
China,Shandong,Qufu,曲阜,ancient city of the state of Lu M53&M58,鲁国故城遗址 M53&M58,"35.61243, 117.4299",35.61243,117.4299,site
China,Inner Mongolia,Hu-Lun-Bei'er-Meng,呼伦贝尔盟,Zha-Lai-Nuo-Er tomb,,"49.447411, 117.635316",49.447411,117.635316,county
North Korea,Hamgyŏng-namdo,Tahori,,,,"39.819941, 127.45489",39.819941,127.45489,site
China,,,,Shanghai Museum of Glass,,,,,